PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
1871,,,,,,,,,,,,,
786,Gerald,Wilkins,New York Knicks,NBA Player of the Week,,1990-91,,1991-03-03T00:00:00,,Award,Kia Motors,KIPWK,
1562,Gerard,King,San Antonio Spurs,NBA Champion,,1998-99,,,,Award,Champion,,
49,Gheorghe,Muresan,Washington Bullets,NBA Most Improved Player,,1995-96,,,,Award,Kia Motors,KIMIP,
779,Glen,Rice,Charlotte Hornets,All-NBA,2,1996-97,,,1610612740,Award,Kia Motors,KIANT,
779,Glen,Rice,Charlotte Hornets,All-NBA,3,1997-98,,,1610612740,Award,Kia Motors,KIANT,
779,Glen,Rice,Miami Heat,All-Rookie Team,2,1989-90,,,1610612748,Award,Kia Motors,KIART,
779,Glen,Rice,,NBA All-Star,,1995-96,,,,Award,All-Star,,
779,Glen,Rice,,NBA All-Star,,1996-97,,,,Award,All-Star,,
779,Glen,Rice,,NBA All-Star,,1997-98,,,,Award,All-Star,,
779,Glen,Rice,Charlotte Hornets,NBA All-Star Most Valuable Player,,1996-97,,,,Award,Kia Motors,KAMVP,
779,Glen,Rice,Los Angeles Lakers,NBA Champion,,1999-00,,,,Award,Champion,,
779,Glen,Rice,Miami Heat,NBA Player of the Month,,1991-92,04/01/1992,,,Award,Kia Motors,KIPMO,
779,Glen,Rice,Charlotte Hornets,NBA Player of the Month,,1996-97,02/01/1997,,,Award,Kia Motors,KIPMO,
779,Glen,Rice,Miami Heat,NBA Player of the Week,,1993-94,,1993-11-28T00:00:00,,Award,Kia Motors,KIPWK,
779,Glen,Rice,New Orleans Hornets,NBA Player of the Week,,1996-97,,1997-01-05T00:00:00,,Award,Kia Motors,KIPWK,
779,Glen,Rice,New Orleans Hornets,NBA Player of the Week,,1996-97,,1997-02-02T00:00:00,,Award,Kia Motors,KIPWK,
779,Glen,Rice,New Orleans Hornets,NBA Player of the Week,,1997-98,,1997-12-14T00:00:00,,Award,Kia Motors,KIPWK,
299,Glenn,Robinson,Milwaukee Bucks,All-Rookie Team,1,1994-95,,,1610612749,Award,Kia Motors,KIART,
299,Glenn,Robinson,,NBA All-Star,,1999-00,,,,Award,All-Star,,
299,Glenn,Robinson,,NBA All-Star,,2000-01,,,,Award,All-Star,,
